PlayerName,Team,rec_att,rec_yds,rec_tds,rush_att,rush_yds,rush_tds,fumbles,fpts
Kendall Hinton,DEN,8.3,94.2,0.4,0.1,5.4,0,0,12.7
Tre'Quan Smith,NO,7.2,98.5,0.4,0.1,0.3,0,0,12.5
Damiere Byrd,CAR,7.1,93.3,0.5,0,0.3,0,0,12.3
Deonte Harty,BUF,2.6,108.4,0.2,1.9,9.8,0,0.3,12.1
Scott Miller,ATL,6.7,93.4,0.3,0.4,5,0.1,0,12
Phillip Dorsett II,LV,9.9,86.9,0.5,0.1,1.3,0,0,11.9
Denzel Mims,DET,5.9,99.7,0.3,0,0.1,0,0,11.9
Parker Washington,JAC,0,117.3,0,0.5,3,0,0.1,11.8
Jamison Crowder,NYG,3.4,113.7,0.1,0.1,0.8,0,0.1,11.8
Demario Douglas,NE,0,105.5,0,0.4,2.7,0,0.1,10.6
Ashton Dulin,IND,5.8,81.7,0.3,0.3,3.8,0,0.1,10.3
Kaylon Geiger Sr.,TB,5.2,66.5,0.4,0,5.7,0.1,0,10.1
Montrell Washington,DEN,4.4,66.2,0.3,0,8.8,0,0,9.5
Jakeem Grant Sr.,CLE,4.8,51.3,0.2,0,22.7,0.1,0,9.4
Andrei Iosivas,CIN,0,93.7,0,0.4,2.4,0,0.1,9.4
Cody Thompson,SEA,4.8,70.1,0.3,0,1.6,0,0,8.8
KaVontae Turpin,DAL,4.8,54.8,0.4,0,4.7,0,0,8.5
Ray-Ray McCloud III,SF,3.3,39.1,0.1,2.8,23.6,0.2,0.1,8.4
Dante Pettis,CHI,6.3,65.6,0.2,0.1,4.5,0,0,8.3
Ronnie Bell,SF,4.4,57.1,0.3,0,4.7,0,0,8.3
Demetric Felton Jr.,CLE,0,81.8,0,0.3,2.1,0,0.1,8.2
Justin Shorter,BUF,0,81.8,0,0.3,2.1,0,0.1,8.2
Jalen Reagor,MIN,5.6,50.9,0.2,2.6,14.3,0.1,0.1,8.2
Lance McCutcheon,LAR,3.8,63.4,0.3,0,0.7,0,0,8
Darrius Shepherd,LAC,4.1,55.4,0.3,0,5,0,0,7.9
Byron Pringle,WAS,6.8,63.9,0.2,0,0,0,0,7.6
Kevin Austin Jr.,JAC,4.3,53.9,0.3,0,1.9,0,0,7.6
Gunner Olszewski,PIT,2.3,39.5,0.2,0,24.1,0,0.1,7.4
Jalen Virgil,DEN,4.2,54,0.3,0,0,0,0,7.4
Maurice Alexander,DET,3.6,48.3,0.3,0,0,0,0,6.8
Matthew Slater,NE,2.3,53.9,0.2,0,1.1,0,0,6.7
Trinity Benson,DET,3.5,46.8,0.3,0,0,0,0,6.7
Joe Reed,CHI,2.1,45.4,0.2,0,7.7,0,0,6.6
Dezmon Patmon,BUF,3.6,44,0.3,0,0,0,0,6.4
Isaiah Coulter,BUF,3.7,44.4,0.3,0,0,0,0,6.4
Simi Fehoko,DAL,3.5,42.4,0.3,0,0,0,0,6.3
Andy Isabella,BUF,2.5,40.9,0.2,0,5.6,0,0,6.3
Dennis Houston,DAL,3.5,42.1,0.3,0,0,0,0,6.2
Cody Chrest,GB,3.4,43.1,0.3,0,3.2,0,0,6.2
Stanley Morgan Jr.,CIN,3.8,42.9,0.3,0,0,0,0,6.2
River Cracraft,MIA,4.6,47.2,0.2,0.1,0.5,0,0,6.2
