PlayerName,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts
Jared Abbrederis,DET,0.1,1.2,0,13.6,158.2,0.6,0.1,19.6
Pharoh Cooper,LAR,1,4.7,0,13.7,158.8,0.5,0.3,19
Rashard Higgins,CLE,0,0,0,11.8,149.3,0.6,0.2,18.5
Darrius Heyward-Bey,PIT,0.4,9.4,0,8.4,134.5,0.6,0,18.2
Rueben Randle,CHI,0,0,0,9.5,131.1,0.8,0.1,17.6
Chris Matthews,BAL,0,0,0,9.8,133.0,0.7,0.1,17.4
Josh Reynolds,LAR,0,0,0,11,141.0,0.6,0.6,16.7
Bernard Reedy,TB,0,0,0,10,125.0,0.7,0.1,16.5
Brandon Tate,BUF,0.1,1.4,0,9.2,123.6,0.7,0.2,16.4
Eric Weems,TEN,0,0,0,9.2,127.5,0.6,0.1,16.2
Cody Latimer,DEN,0,0,0,12.4,135.0,0.5,0.2,16.1
Mario Alford,CLE,1.5,7.5,0,9.3,115.8,0.5,0.2,15
Ryan Grant,WAS,0,0.2,0,9.6,122.8,0.5,0.3,14.7
Keshawn Martin,DET,0,0,0,9.8,117.2,0.6,0.3,14.6
Alex Erickson,CIN,2.5,13,0,7.6,96.0,0.6,0.2,14.5
Cobi Hamilton,PIT,0,0,0,6.4,89.4,0.9,0,14.4
DeAndre Smelter,SF,0,0,0,8.6,109.9,0.6,0.1,14.1
Mack Hollins,PHI,0,0,0,9.1,107.4,0.5,0,13.5
Tanner McEvoy,SEA,0,0,0,4.9,73.6,1.1,0.1,13.5
Harry Douglas,TEN,0,0.1,0,8.5,111.8,0.4,0.1,13.3
Jordan Payton,CLE,0,0,0,8.6,107.7,0.3,0.1,12.5
Cody Core,CIN,0,0,0,9.5,111.4,0.2,0.1,12.3
Myles White,NYJ,0,-0.1,0,7.5,93.6,0.5,0,12.2
DeAndrew White,HOU,0,0,0,6.9,87.9,0.5,0,12
Leonte Carroo,MIA,0,0,0,8.3,103.6,0.3,0.1,11.9
